Name,Location,Username,Date Inserted,Review,Rating,Food,Service,Price,Food Key,Service Key,Price key
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",GRG59,"December 23, 2018","Recommended by front desk manager, walked 450 mtrs & from moment of the first bite to the last, it was delicious. Chicken rice and pork ribs Zen Jiang sauce. Will be back",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Holidayfever2013,"August 27, 2018","We went to this restaurant because we were told that the chicken rice was really good. Besides ordering the chicken rice we ordered a plate of steamed brocolli and had carrots and baby corn. When I went to eat the brocolli, there was a bad smell, like the veggies had gone off and another one in our group tried another piece of the vegetables and she too could smell that the vegetables were off and tasted off. We left the entire plate untouch ",3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Alexlostinparadise,"July 9, 2018","the chicken rice here never fails, they try to be different from the original branch at Balestier by having their rice in the shape of a pyramid, they also have green tea mayonaise for their crispy fried tofu ",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",SVRBlackBookAsia,"June 30, 2018","The best chicken around, soft and juicy goes perfect with the chilli sauce and hot rice. Side of vegetable and soup is a good set to purchase",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Christopher R,"June 26, 2018","Always good, chicken rice done well with all the trimmings.   Lime juice. XO beans and both a half of crispy and steamed chicken over tasty rice.     Always fresh, and lime juice is so tasty.....",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",rabethkhan,"May 23, 2018","Along the years, the taste of the Boon Tong Kee has remained consistent. The service is very homely and ambiance has changed for the new era look. Chicken rice and the chicken are mouthwatering. Fried Tofu is a good try! For other dishes, maybe half dish concept can be introduced for people going alone, since those portions are too much for one person and end up wasting. There are some other good places for Chicken Rice but Boon Tong Kee is worth a visit for all travelers going to Singapore.",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",625abbym,"April 30, 2018","We went there with my 1.5 year old son, and there's not only a high chair for him, also a set of cutlery which is very thoughtf ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",eatingmonster2000,"April 10, 2018",Chicken rice! I am a chicken rice love,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Combatfisher,"April 5, 2018",My friend and I went to Boon Tong Kee to order some take-out for my family. We went all the way from Marina Bay Sands hotel to the restaurant because we heard how good the chicken was...and they didn't disappoint us. I think I went a little over-board on ordering the chickens (I purchased 4 of them -- we were hungry when we ordered :) We were able to finish about 2 of them and gave the rest to our friend since we were staying in the hotel and didn't have a refrigerator). He gave some to his friends and they finished all the food (whew.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Rendezvous18,"March 31, 2018",We went there because we got out of the airport late so it was the only place that’s open and i regretted doing so because the taste was worse than the one in my city which was disappointing and it made my throat feel bad because of a lot of msg,2,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",mrs fm l,"March 4, 2018","Part of Boon Tong Kee chain.
Quality is not consistent. Give it  a miss and head to the one at Balestier Road",1,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",ECFoodNTravels,"February 26, 2018",A guest was in town and she was keen to try Singapore’s “famous chicken rice” when she spotted Boon Tong Kee at River Valley Ro,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Tomberra,"February 22, 2018","We had been here some years ago and wanted to go back and try Hainan Chicken with Pyramid shaped rice.

Yo this we had fried pork ribs and vegetables.
Drinks were Chinese tea.

Good tastes in good company.
We will come back.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",bcheong,"February 19, 2018","Always 1 of the go-to places for chicken rice, or singapore food for that matter. This location is more central than the other ones. But come early or late, peak meal times are a pain to qu ",3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",SVRBlackBookAsia,"February 14, 2018","Sometimes after all the fine dining you need some good old comfort food and you get it no where else but Boon Tong Kee. Love the tender white chicken here, aromatic rice and awesome chilli!",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Salee1983,"February 7, 2018","I wanted to try the chicken rice at this restaurant chain so dragged my husband to the River Valley restaurant. We ordered the half Hainanese chicken with two bowls of rice, the Kang Kong and a French Bean and Scallop dish. I was really happy with all the dishes and would each at the restaurant again next time I go to Singapore. The chicken was tender and tasty and the bean and scallop dish was fresh and crunchy. The scallop dish was a bit on the pricier side and we paid a bit more than what we would have if we went to a Hawker store but I would recommend it.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",tkyindojin,"February 3, 2018",A very popular chicken rice place which has queues all the time. One of the best chicken rice place although the other dishes are average. The SGD 5 takeaway Chicken rice is the best deal ever.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Traveltheworld99999,"January 23, 2018","Average chicken rice, I went there just because my friend love their chicken rice but not m ",2,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Ashleyyang2019,"January 15, 2018",Food is fairly simple but very tasty. I visited very often cause it close to where we stayed. Their Chicken Rice is very famous they have have lunch ‘set’ portion for takeaway. They always have long que during lunch/dinner hour. Recommend if you are near by.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",10poonamk,"January 10, 2018","The great part is it's open till late, so its perfect after a night out and you need some good food. Their extensive menu doesn't limit you to only chicken rice. So its fabulous. The service is great and quality never disappoints. Its a landmark on its own.",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Q5783SQkenl,"December 27, 2017","Visited this place for late lunch on a Wednesday and had the half chicken with chicken rice. It was very delicious! One of the best chicken rice I have eaten during my visit. The chicken was steamed nicely, soft and succulent and the rice was fragrant and tasty.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Mpeg36,"December 27, 2017",This place had good food but just not we were expecting. We had heard so much about Singapore’s famous chicken rice BUT the chicken is cold with little flavour. The spare ribs were yummy and the deep fried tofu was absolutely divine. Service was very friendly and quick. Would recommend for the experience.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Flybug_2012,"December 26, 2017","Not crowded during lunch time on weekday. Services were good but find the sitting space a bit cramp. If u go with kids/baby, best is to sit near the entrance. Food served in small portion. Can't order much because of the small table. Overall experience is good.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",mobinak2015,"November 19, 2017","Great spot for Chicken rice!
It's a basic spot with great local food. A must eat at spot... when you're in Singpore!",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",CRL12377,"November 11, 2017",Been to the other chicken rice places mostly at food courts and this is THE CHICKEN RICE to have. The rice is tasty and the chicken cuts are extremely fat and juic,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",675francisn,"October 25, 2017","I like to come to the River Valley branch because of the location, decor and the service. This is the usual place I bring overseas friends to taste one of Singapore’s most iconic dish ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",kissane,"October 8, 2017","Apparently this restaurant has been around for many years, but it looks like many other small Singaporean restaurants. We had to wait a bit to get a seat, as it is quite popular, but the wait was only a few minutes. We thoroughly enjoyed the excellent food, including great chicken rice and a lovely prawn dish. We also enjoyed a dish with green beans and scallops, although this was a little overpriced, I felt. I enjoyed having my rice served in a pyramidal shape (betraying my mathematical roots!). Staff were competent, friendly and attentive, without being overwhelming. A good place for a meal.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Suria_Nataadmadja,"October 8, 2017","Very good chicken rice here. 10 minutes of queuing at this place really worth the wait. Fast service and delicious chicken rice. I love the ngo hiang or fried shrimp rolls here, very tasty. The double boiled chicken soup also not bad.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Dinodinosaur,"October 7, 2017","As I need to dine past dinner time, it gets more and more challenging to find nice good eat. Boon tong kee is one of the few that actually serves great food till late. If you're a tourist I would strongly suggest that you do all your shopping in the day and when the shop closes, head to this place and have the famous chicken ri ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",TheKuoKnows,"September 23, 2017",@TheKuoKn,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",angie_marie01,"September 16, 2017",Decided to have dinner at Boon Tong Kee but decide not to order chicken di,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",obscuritas,"September 16, 2017",This restaurant is famous for its chicken rice and indeed is delicious. We ate a tasted chicken and a hainanese chicken rice and a vegetable soup with salty eggs. Everything was tasty. Service was friendly and extremely fast. The restaurant quite nice.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",gaosiyi2015,"September 6, 2017","This is quite an established Chinese Singaporean Restaurant. The dishes are quite typical of a Chinses Singaporean or Chinese Malaysian chef. I particularly like the steamed chicken and the chicken rice. The vegetable dish, Kang Kong, is also my favorite. Another popular dish is Deep Fried Prawn Rolls. I have not tried their Fried Chicken so far but they looked good to me. I noticed that there were 10 waiters/waitresses in that small restaurant and the service was really fas ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Steve B,"August 28, 2017","I ate here with my family,the chicken rice was average,the sweet and sour pork was  ",2,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",MJ8,"August 28, 2017",Had dinner with a large group of 8 recentl,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",K1558PGjosepha,"August 20, 2017","Located about 1 km from ion orchard 

Great chicken rice

Service was OK

Worth to visit while in Singapore",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",eddrickli,"August 5, 2017","On the day, we were not that hungry so we did not order a lot. We had tried the fried tofu, Hai Nan Chicken rice and lime juice. I loved the portion sizes because it was very fair and the taste of the hai nan chicken rice was excellent. ",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",bcheong,"July 26, 2017","Back in town and dropped by for this reliable favourite. We knew to arrive early at 630 and got a table. 645 the queue starts, on a weekday , and gets very long after 7. On weekends, even long ",3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",270dianam,"July 16, 2017",Yummy food and friendly staff. The first dish I forgot the name we ordered from recommendation here but a bit too oily. The chicken is really a lot for two of us that we couldn't finish. The staff is super friendly to show us the way to our next destination.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",chantalh126,"July 12, 2017","We were the only non-Asians in the restaurant but were able to easily order our food.  Dishes were tasty - with highlight being scallops and beans, and the mussels and calamari dish.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Tankorn S,"July 11, 2017","Its look so yummy , the hanging chicken 🤗it's a pity I don't eat chicken but my friend she gave a plenty of star rating. I believe her, she packed back to Bkk 555",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",bluemocha,"June 2, 2017","Better late than never. Came here back in June of 2015 when visiting Singapore. This was closed to Fraser suite apartement. We had wanted to eat more chicken rice to see which place offers the best chicken rice. This place serves some good chicken but in my humble opinion, it did not beat Tian Tian. We had stirfried bean sprouts, seafood claypot(had abalone), fried tofu, pork belly with perserved vegetable. That was enough for 4. Only thing I did not like was the cramp bench seating, feels too close to the table.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",giorgiacalta,"May 19, 2017",Stays here for a business lunch. The best chicken rice I ever eaten and ever seen presented as pyramid!  Also che roasted duck is wonderful a fresh juice are home made.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",256edwins,"May 12, 2017","A rather disappointing dinner. No longer getting the ""Wow"" and ""Yummy"" with the chicken. Worse no fragrance on the rice like wat I had before. The chilli is very ordinar ",1,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",525charanjits,"April 14, 2017",A regular dinner haunt in the Neighbourhood with excellent chicken rice and the variety and quality of zhe char dishes is also great.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",711lynnel,"April 10, 2017","One of the best chicken rice in Singapore. Even as a Singaporean, I go there very often to dine in. The good there are great and there is aircon. The standard of chicken rice maintain even they had many other outle ",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",nav1nr,"April 3, 2017","A big fan of chicken rice, this restaurant takes it to a different level. Chicken rice are carefully prepared with great side condiments!",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Nadine T,"March 30, 2017","Hainan Chicken Rice tasted good, especially the boiled one. The roasted a bit dry for my taste. Many foreigners ate here. Price wise very reasonable. The fried tofu with green mayonnaise sauce also delicious.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Navtej88,"March 24, 2017",This was my umpteenth visit over many years to this popular chicken rice restaurant. Eating there has always been an occasion to look forward t,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Pohim,"March 1, 2017","Paid $43.50 for 2 plates of rice, 2 drumsticks, 2 eggs, a plate of spinach, a glass of barley ice & a lime juice. Probably the most overpriced chicken rice ever (exclude those chicken rice served at hotels ",1,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",lulukaimook,"February 20, 2017",I walked from Orchard MRT but it was a good walk. We ordered half chicken and scallops with green bean(?). The food was great as usual and i will always return to this place!,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",hildrag,"February 19, 2017",I've eaten here with my family since the early 1990s and this place is simply the best. My personal favourite is their rice which is so tasty you can have it on its own. I highly recommend visitors to Singapore to try out any of their outlets across the island.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",fritsc71,"February 19, 2017",Went here for early dinner with friend.  At 18.00 already a short que.  Wait for around 5 minutes to get a small table for two.  Food simply delicious.  Price is ok for a personal set menu.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",audreywid,"January 10, 2017",Best chicken rice place ever! The place is always crowded at night so be prepared to wait. They also do takeout and delivery service.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",clive063,"December 27, 2016",When staying at Great World City and jet lagged this is a regular late night spot. Chicken rice is adequate but at 3am is tastes great.,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",AdoboTex,"December 15, 2016","It is still a go to place for most people looking for chicken rice, and the service is good, but they have become quite expensive.",2,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Sachin0408,"November 29, 2016","When my friends visit India on business tours I take them out for dinners and when I visited Singapore they returned the favor by taking me out for lunch at this amazing outlet called Boon Toon Kee. It was my first experience and I also tagged along a friend of mine with me. Located at 425, River Valley Road in Singapore the first impression of the food joint seemed very-very popular as it was packed. We had reservations so no regrets on that fron ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",pcartin,"November 21, 2016","The white chicken breast tasted so bad. The meat had some kind of weird taste, like those taste which is not fresh and perhaps frozen me ",2,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",150veraw,"November 19, 2016",It's a great takeout place for us! They accept phone order but no online menu available nor printed brochure! I took a photo of the takeout menu and it has been worked well!,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",WarrenH750,"November 2, 2016",There are a few Boon Tong Kee Duck stalls in Singapore.  We tried the one at Zion Road Food Court.  Sorry to report that the duck is dry and the taste is bland.  The Kway noodle is of no big deal either ...,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Frank F,"October 17, 2016","Very good lunch with family, the chicken rice and the sesame toast is great.
God service, quick and efficient.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Makan28,"October 12, 2016","Firstly - this is place is very hard to get a car park , we circled 4 times and eventually parked at Great World and walked aw ",3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",GanYY2009,"September 14, 2016","For SGD 5 for a plate of chicken rice, this place is quite value for money. The chicken tastes silky smooth and full of flavou ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Jean-François C,"September 3, 2016","It's indeed quality cook; it doesn't seem fancy from outside, but the menu has interesting dishes and it is definitively tastefull",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",444Scott444,"August 23, 2016",You could easily miss this place or see it from the street and not think much of a spot to enter as is somewhat bas,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",StoneNMe,"August 22, 2016",One of my favourite restaurant to bring my friends / associa,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Larsan1,"August 6, 2016","This is my favourite Restaurant for Chinese food. I simply love every single dish especially their roasted chicken, sweet & sour pork and pork ribs! Very delicious! Thank you for providing outstanding food and service! Well done",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",LondonD0ct0r,"July 16, 2016",We visited this restaurant for dinner based on friends recommendatio,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",RogerRamjetLondon,"July 16, 2016","Good quality chicken rice. The place is a touch difficult to get to as no MRT station nearby, but the food is good including other menu items. Very reasonable price too. Seems to be a hit with the locals as this place got very busy from about 8pm. Will return next time in sg.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",lisalina2015,"July 4, 2016","Recommended by some people, we went to Boon Tong Kee to eat their famous Hainan Rice last month. The fragrant of the rice and the shiny rice are really tempting us to eat right away. We ordered Steam Chicken and the Roast Chicken, both are nice but I prefer the Steam one. They also offered us to try Clay Fish with Black pepper sauce and it was really good. Overall, this is well recommended, but one thing we have to notice, at Boon Tong Kee, the Hainan Rice is not served with clear Soup like in any other Restaurant.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",lovetravelslove,"June 22, 2016","It was lunch, it was our last meal on our six days explorer of Singapore. We had a different chicken rice as our first meal in a hacker market. Coming to Boon Tong Kee since we hear it's one of the best and it was so close to the Fraser Suites River Valley we were staying, we had the chance to check out and walk over for a nice lunch before heading to the airpo ",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Faraz K,"June 11, 2016",Have the chicken rice. Steamed breast. Have the staple Singaporean dish and you won't break the bank at around 7SGD. Definitely a must have. While in Singapore. Also great for those who need a protein healthy diet low in carbs. I washed it all down with an Evian.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",glorialakwatsera,"April 9, 2016","We kept coming back to this for the chicken rice! Tender and juicy, the sauce the perfectbpalance of sweet and salty. And the rice! Omg the rice!",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",DRAGONO H,"February 27, 2016",Their Hainan chicken rice without a doubt is the best is singapore. Have many branches but this one in river valley is the best. Also try the soup and tofu. Service is fast and friendly.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Mariel A,"February 25, 2016","Boon Tong Kee was highly recommended to us for its Hainanese (Boiled) Chicken, and it did not disappoint. Their chicken was tender and flavorful, and we liked the chicken rice as well. Their servings are large, and the prices were reasonable.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",HKeater,"February 17, 2016","Rather good chicken rice and the waitresses do like to chat.  Good clean tables.

Rice:good
Chicken: good
Atmosphere:good.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",hitoritabi,"February 5, 2016",Bought a few Chicken Rice to,2,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Kelvin Y,"January 17, 2016",Price for chicken rice slightly above average. The other cooked dishes are great to complement the chicken rice too. The spicy chili paste specially made is a must try condiment.,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Anthony_NgOfSg,"January 15, 2016","Very nice food, especially good chicken rice................. had ordered sweet & sour pork, fried bean sprout with salted fish & deep fried prawn cake.",5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Ezcapaid,"January 7, 2016",Was there in Jan 2016. I love this place. Always tasty and juicy chick,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Dian K,"December 26, 2015","We went at 11 pm after a trip from the night safari with our kids. We had the steamed chicken, tofu, bean sprouts, shrimp cake and rice. They are all very good. The steamed chicken is one of the tastiest and tenderest Hainan chicken weve tried. The rice is also perfectly steamed and not dry unlike other chicken rice. Will definitely come back here.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",lillyneko,"December 15, 2015",It's hyped up as one of the better places and it doesn't disappoint. You may want to order 2 portions. One is on the small side,4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Carla L,"December 10, 2015","The food was good, but I do not recommend budget travellers to eat here because it is very pricey! We paid 100SGD for a meal of 4 people!",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",HowardK945,"December 5, 2015","This is a popular restaurant that stays open late.  We were there at about 11pm on a Sunday night, so it was not too crowded.  The service was good and the food was served quickly.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Man0jPanjabi,"November 18, 2015","Best place to get Chicken Rice.  My preference is for Skinless, white chicken rice set and they are the best.  They Tofu chunks served with green mayonnaise is amazing.   Tried Cereal Prawns, Kai lan with Garlic all was excellent.  Will definitely come back.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",yeoc468,"November 18, 2015",This place chicken is quite the same as the rest of their branches. However the service here is slightly better than the rest.,3,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Ashibaoka,"November 15, 2015",This is our favourite Chicken & Rice place. Forget those highly recommended stalls in Hawker Centres. Boon Tong Kee is a cut above the rest. How do they manage to give their rice such intense flavour and light fluffy texture? Both BBQ and Boiled Chicken are good. We really enjoyed the pork spare ribs last time - so rich and tasty.,5,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Y2129ATsusanw,"November 14, 2015","I just visited Boon Tong Kee for the first time and I'm impressed that their service are very fast.

The chicken rice is fragrant and the chicken is tender and delicious.
I recommend you try their cuisine",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",Sychim,"November 8, 2015","Price is a little on the high side but chicken is tender and succulent, chili sauce decent and rice fragrant and fluffy. Service is also prompt and polite. Overall: very good.",4,,,,,,
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",gremmietraveller,"November 3, 2015","I know there are lots of restaurants that have chicken rice but, I do like coming back to Boon Tong Kee in River Valley Road. The rice is fluffy and fragrant and the chicken when dipped into the chilli and ginger sauce pretty scrumptious. I also like the tofu clay pot and if you're into offal, then add that to your order. The place is popular and fills up pretty fast but, I've never booked and always managed to get a table - albeit- you do have to wait",4,,,,,,
Orgo Bar and Restaurant,"8 Raffles Avenue #04-01 Esplanade Mall Roof Terrace, The Esplanade, Singapore 039802 Singapore",S G,43603,"We'd planned to go to this bar for sunset and to watch the light show from Marina Sands, but after spending a while walking around the Esplanade complex trying to find it, it turned out that it's closed for refurbishment until July 2019. It's disappointing that there was nothing on their website to say this, as it would have saved us a wasted journey. ",1,,,,,,
