storeName,storeLoc,reviewerUsername,ratingDate,reviewText,rating
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",copyrabbit,24-Jun-17,"One of my favorite place for meal and would sometimes visit the cafe rather to buy stuff from Ikea. Quite disappointed that they have removed their chicken wings from the menu. Best dishes I would recommend - Portuguese egg tarts, meatballs and their spring rolls. Parking is free but the cafe is always pack on weekends.",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Iowa C,23-Jun-17,"Recently visited IKEA with my father for their Ramadan buffet which was priced at $19.90 per adult, where you could eat from 6 30pm-10pm with free flow soft drinks. The food selection was quite decent for the price we paid. As expected, the IKEA beef meatballs were present on the menu!! Their chicken rendang was fragrant and fried wings tasty. Would have hoped for their maggi goreng and fried rice to be more flavourful. Service at the buffet is impeccable, kudos to IKEA staff for being personable and likable. Staff clear your table before your plates clutter. The dessert section was great with a selection of malay kuehs, chocolate eclairs, swiss rolls and fruit cocktail mix, which all tasted rly good. The free flow drinks are unique as they have fruit flavoured water which some may find refreshi ",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",losenglog,11-Jun-17,Chicken wing was discontinued due to quality issue . But I had a beef cheek set n it was really well done n tasty . Usual free coffees tea for members .,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",mojojoie,3-Jun-17,"Yes their meatballs has shrunk, probably they find the need to make more money than usual, that is how I see it, instead of just a stop over for shoppers, their restaurant is a go to place for people that love their meatballs but apparently they see the need to make more. They don't serve the same sizes as what they used to, especially right after their renovation, they also renovated their meatball sizes IMHO.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",t0j0b,22-May-17,"Food is quite lowly priced here. But options in fish, chicken is very limited. They have chicken wings, salmon and chicken chops apart from some cold salads in fish. You get varieties of cakes. If you have gone to IKEA for shopping then this is the best option.",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",rimazhari,1-May-17,Went to IKEA Alexandra on my last visit in SG. Quite surprise with their menu..their nasi lemak is quit nice and cheap! It's only 4$! A good cup of coffee or tea for only 50 cent. A good choice to have a quick brunch before shopping in Anchorpoint Mall which is just across the road,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",AbbiH517,19-Apr-17,We don't have Ikea in New Zealand and we really enjoyed our time there. Loved the food at the cafe! Amazing value!,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",bigfish41day,1-Apr-17,Decided to have dinner at IKEA Tampines after work. It was a Friday. The restaurant was packed. But things runs like clockwork. Qs were orderly and staff efficient. The chicken wings never fail to entice. Soft drinks were free flow. Also tried the Muslim section. Quite goo ,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",yeoc468,4-Feb-17,"Tried their meat balls again and it is still bad.
Food is worst that fast food places.
Maybe it is cheap that's why there is always a crowd.",2.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",gheesoon,12-Jan-17,"Everything is self explanatory,  ",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Imakelv,10-Jan-17,"Ikea has it in for families, taking care of kids while their parents shop around for housing products. And after getting what they need, the cafeteria with its reasonable pricing and a menu full of yummy treats like the meatballs and delicious chicken wings wld fill us up. And before we leave for the day, satisfied with our meal and purchases, we would most probably join the kids as we indulge in an ice cream cone because, why no ",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Cecil L,1-Jan-17,Dining at IKEA is convenient. The food is good but nothing really to rave about. Prices are kept reasonable and I think given the unique experience of eating in a retail outlet this place remains popular with Singaporeans.,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Kikka1931,1-Jan-17,There is nothing to complain about the IKEA rest ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Timothy K,27-Dec-16,self-service is expected of ikea cafeteria so that's not an issue. but it was very crowded and the food tastes very very processed. value is good though.,1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",fireice,20-Dec-16,"very reasonably priced food. self-service style. go along the stations and pick up what you want and pay, find a seat, enjoy. wont go wrong with the meatballs and chicken wings. the cakes are quite good as well. there's a strictly halal corner. refillable coffee is a big disappointment though we should not expect much. big spacious dining area. remember to clear your own trays/trolleys.",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",koolcatPenang,28-Nov-16,"It always nice to eat out at places like this. Getting in to the crowd n buying and eating it while it is hot. Great meat ball, pastry and unlimited coffee! Will be going again.",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",excaliburArdennen,1-Nov-16,IKEA is a little like coming home everywhere all over the glo ,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",PaintProfSingapore,22-Oct-16,"Good value for money, very efficient way to avoid starvation while shopping. Recommend the salads and of course the meatballs!",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Shinta D,21-Oct-16,We've been here 2 times. Our favorite food is the swedish meat ball. It's really good. Great place for a family meal,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",goldrush20,13-Oct-16,Me and my wife love spending the day at ik ,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",jillr983,26-Aug-16,"Every month we visit Ikea just to eat our favorite Meatballs and chicken wings, my daughter really love their food. Though sometimes a bit crowded and no seats available, we can back anytime as their shops is only nearby the cafeteria. They are selling cheap food and unlimited drinks for only $1. ",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",582edmundk,20-Aug-16,"Crowded, noisy, rude, bad table manners, dirty, inconsideration. Having been a student in Sweden and visited Ikea, the local joint is a disgrace and let down. The taste of meatballs and soup is far off the mark. Training videos instructing local visitors on better dining environment prior to entry should be a requisite. Don't come here on weekends. Many are window-shoppers and families gather to eat and eat in another of their routine outing. This is not a place to visit for international visitors. A failure at promoting the best.of Swedish culture and cuisine. If one has been to Ikea Stockholm you will understand what I am decrying. Pass instead of Heij.",1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",robbielampard,3-Aug-16,furniture and ideas are okay and best suited for small apartment spaces and for people who do not want to fix any permanent furniture,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",kittybaby3000,28-Jul-16,"Been here a few times, and finding a seat is always very tough. Food here is acceptable. We always like to order mushroom soup as got many mushroom slices in the soup.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",NigelG407,15-Jul-16,This restaurant is always noticeably busy. Today was no exception at 2.30 on a weekday afterno ,2.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",MaxManila,6-Jul-16,Food is definitely good. Taste-wise and price-wise. Pretty good variety. Nice to know it has been keeping its tradition of providing good food together with good furnitur ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",ninaa29,5-Jul-16,"We went on a Sunday. It was really crowded but for someone like me that comes from a country without Ikea, we were willing to endure the long queue just to eat their famed meatball ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",linweisingapore,3-Jul-16,"After shopping at IKEA, decided to have lunch there. It's always crowde ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",RachelnRichard L,22-Jun-16,"Food is good except that on my day of visits, only 2 persons were serving and que was long. However, the food is good and there's special rate for member. Worth the wait.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",CandidSay,17-Jun-16,Went to Ikea in Tampines this week for shopping and a bite to e ,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Tony88SG,12-Jun-16,"It has been a while since I last visited the Ikea Café. Despite hearing some not so positive feedbacks about it recently, I decided to go along when my colleague suggested going there for lunch. Beside, I do missed their meatballs and chicken win ",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",HaSiKh,7-Jun-16,"While they have done their best to make the process as fast as possible, the place has way too many people and getting and paying for food takes a lot of tim ",2.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",AbbiH517,14-May-16,"First time at an IKEA cafe, the food was delicious, fresh and cheap! The salmon and hollandaise was really flavoursome as were the meatballs. The marzipan dessert looked really cute and was delicious!",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",qingyun59,8-May-16,"As always, avoid the dinner/lunch hour, do go early like 11.30am or 5.00pm. Then you will enjoy the meal more and feel less frustrat ",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",fruppet,2-May-16,Great place to just hang of you're simply looking waste a lot of time queuing but provides satisfaction to your tummy. Having small children along is tricky but they seem to love the place,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Annie0608,20-Jan-16,"You can find so many things in ikea, even the cafeteria has a good selection of Asian and western food. During Chinese New Year, you can even come here to Loh hei, the chicken wings is very Crispy and tasty.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",PoojaKawatra,15-Dec-15,We have visited Ikea many a times but always avoided going to the restaurant because of the crowd and many a times unable to find a sea ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Anser A,29-Nov-15,Nice if you can find a table.....it's usually very crowded. Prices are reasonable which possibly explains why it's perpetually busy. Drinks are bottomless (free refills!) which makes them great value!,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Lynns98816,19-Nov-15,"We loved to eat here every time we visit IKEA store. the Salmon is very fresh, even my kids like it. Swedish meatball is very yumm ",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",harhanz,12-Nov-15,I'm glad that Ikea provides Halal-certified food in their cafeteria. The food menu changes daily and are quite affordable too. Soft drinks are free-flow at only a dollar. 👍,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",nEoR3n,12-Nov-15,The queue is always long but fast. Even the restaurant is big it's hard to find a seat. Chicken wings is my fave food here.,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",isssssss,8-Nov-15,Both restaurant is getting pricy now.Salmon used to be affordable but not no ,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",JO B,15-Oct-15,"good food, very reasonable prices .. ",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",WoooWho,8-Oct-15,Was at Ikea Alexandra checking out some furniture. Was a little hungry and needed a quick bit ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",revenue_razor_au,7-Oct-15,"You can't go past the $2 Hot Dog Deal! Dog, drink & cone, the kids love it, while we get to use it as a bribe to shop. Win-W ",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",sccs99,30-Sep-15,Best place for Chicken Wings and the Meatball !!! Yum !!! Even though the cafe its always crowded but the cashiers and staffs and pretty fast in movements. Only thing is you got to wait for a table for a long time :),5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",BillyZ634,27-Sep-15,"The line can be very long so a fast track to get your food is to queue at the Halal counter which has fewer choices on the menu but the popular meatballs, chicken wings are available. The Nasi Goreng and Nasi Padang are not bad comparing to most food courts.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",DanielOon,9-Sep-15,"This is not the first time these local Chinese aunties who served food are terribly rude & appalling but several times over the months since 2013. In contrast, the Malay cashiers are so polite & pleasant esp Cik Siti. Every time coming to Ikea was a happy event for me to bring my family there & everytime these local Chinese aunties never fail to be crude & blatantly rude to courteous diners who queued up patiently & had to swallow such nonsensical treatment. I observe the servers at the Muslim Corner dont behave like these arogant local Chinese aunties. The Filipino staff were polite & helpful. I reckon management has to seriously look into these matter because it spoils our happy day patronising Ikea. Besides having good products, service is equally vital in any businesses. Dont give lame excuses that these local Chinese aunties cant communicate English properly because if their attitude serving customers is abyssal, even their gestures & facial expressions & tone of voice could reflect their rottenness. Learn from the Japanese people, despite zero command of English, we had no complaints whatsoever with their service because they serve with a highly motivated positive attitude. It's the right attitude that matters most, the rest will fall in place. ",1.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",johnnySingapore,1-Sep-15,Dinner at weekend~packed with customers.need to queue for at least 20 mins. Beef meat balls n chicken wings are top favourite.coffee n tea is free of you are the members.come on weekday is better less crowd,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",bargain,7-Aug-15,Understandably famous for their Swedish Meatballs. Got to have them every time we dine here. And we love their fried chicken wings and their poached salmon.,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",FrankiePng,30-Jul-15,Good for family short trip and getaway for couple of hours. You can light lunch and dinner with lots of Swedish food stuff. Looking at furnitures and decors gives you inspirations to work harder and renovate your home.,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",GaniS_12,21-Jun-15,Great place for a family meal. However it gets over crowded on weekends. The management is not there to stop overcrowding you buy your meals after queuing up and walk around for a seat. If you cannot find one then you look out for someone whom is finishing their meal and hope they would leave soon after their mea ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",JandJ68,17-May-15,I really think Ikea needs to take a long hard look at itself here and set aside tables for CUSTOMERS of the Ikea store. i understand they are running a business but the cafe is full every time I have come shopping with staff from local businesses. Treat your customers properly or we will shop elsewhere.,2.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Pak Soon L,30-Jan-15,This is my favourite meeting place for informal meet up with friends and contacts. The cafe opens at 9:30am and serves very reasonable breakfast. The coffee and tea are cheap by Singaporean standard.,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",MeganLLP,17-Dec-14,I dare say Ikea's chicken wings are the best on this Isla ,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",lineasy2,10-Dec-14,Had their meatball at the restaurant! Best meatball I had even if I compare it against Swed ,3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",BrandLong,4-Dec-14,"I think food in Ikea is very value for money. They have kids meal as well and their pricing is consider cheap as they are aircond room, clean, and neat unlike hawker centres. It is a self service cafe where you have to clear up your table after enjoying your meal and have to Q to order and take the food you ordered by yourself to a table. It is very crowded during dinner time and you have to wait for a table or seat. Their drinks are refillable !",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",TeoC668,25-Nov-14,"Great place if you are shopping in Ikea. It's a bit chaotic now due to the year end school holidays. Quite difficult to get a table, do go early. Food is delicious, fresh & good. Their signature fried chicken is juicy, tender & very tasty. Every table will sure to have this dish. Next is their Salmon, tasty, yummy & no fishy smell. Like the way they served the potatoes with Brocoli, good way to have kids who don't eat their veggie. The potato is flavorful. Yum Yum. Occasionally, IKEA will run promotion for members. It's a good deal to get stuffs during promo. IKEA members are also entitle to free coffee & Tea & free refills too. No messy table as patrons are requested to clear thier tables for the next diners.",5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",eddiensw,10-Nov-14,Its a great option if you are doing shopping in Ikea its ,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",meyxtine,8-Nov-14,"Super long queues on weekends, not to mention finding a table was like treasure hunting. Food was okay, prices are affordable.",3.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Jim28Manila,5-Nov-14,"Anyway you do it this cafeteria packs a punch.  Chicken wings, meatballs and salad and free refills for drinks!  Load up before shopping and eat again after shopping!

Dining area is clean and odor free.",4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",ChristopherManalo,10-Oct-14,Everything we go here we for some shopping  we see to eat that we get to try their Swedish meatballs.  It's so nice that I can't get enough of it.  I also like their chicken wings,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",babyyohan,10-Oct-14,Having a great time shopping and go off for a lovely eat out day is awesome. Lovig thisnplace for their meatballs and chicken wings,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",Ruarkvallen T,7-Oct-14,Ejo wouldnt love to go shopping then go devouring after such? I love their meatballs. Super! Well i love their chicken wimgs too,4.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",227dayc,28-Sep-14,My personal. Favorite here is the swedish meatballs and the chicken wings. I wouldnt mind eating these all the time o visit ikea,5.0
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",hardyliga,30-Aug-14,It is one of our family most favorite restaurants in Singapore. Our family members love to ride a bus or MRT there just to take a lunch instead buying the products. The spaghetti and chicken wings are awesom ,4.0
